"ID","POP_Densit","Area_Tot_Cor","YearBuilt","Hage","TotalValua","NumberOfSt","TotalGross","yd","MEDIANAGE","medINC","perVAC","perMIN","perMAR","SaleYear","dur","Hard","Con","cabio","perH","perC","Cseqha","perHbio","Sand","Silt","Clay","pH","stoC_at10","stoN_at10","stoC_at20","stoN_at20","stoC_at30","stoN_at30","stoC_at40","stoN_at40","stoC_at50","stoN_at50","stoC_to10","stoC_to20","stoC_to30","stoC_to40","stoC_to50","stoN_to10","stoN_to20","stoN_to30","stoN_to40","stoN_to50"
22,1709,0.1,1950,64,208300,1.75,256.783892,0.0986368003475157,40,60139,1,0,0.166666667,2013,1,NA,NA,NA,NA,NA,NA,NA,77.9766666666667,15.555,6.465,5.895,27490.6054782352,1941.61263146895,22807.2060129955,1559.78998305084,14270.4778312792,978.948374552451,4257.22806326001,273.725871564051,NA,NA,27490.6054782352,50297.8114912307,64568.2893225099,72407.0047751565,NA,1941.61263146895,3501.40261451979,4480.35098907224,5046.27035619197,NA
17,1934,NA,1965,49,NA,2,19587.66852,NA,30,66810,0.851546392,0.135770235,0.319612591,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.31,11.6666666666667,7.02,4.36,24735.6883526857,1521.82966859436,29376.6435688235,1596.30181954569,23879.5033371719,1237.7374096397,NA,NA,NA,NA,24735.6883526857,54112.3319215091,77991.835258681,NA,NA,1521.82966859436,3118.13148814004,4355.86889777974,NA,NA
27,1926,0.08,1945,69,188500,1,268.675476,0.0775039242253172,55,60139,0.928571429,0.038461538,0.384615385,2004,10,2,0,2716.83666037439,1,0,35054.1819337571,35054.1819337571,76.8666666666667,16.6683333333333,6.465,5.11,39543.4325462414,2806.57209217209,18901.9678680634,1326.3402293231,17543.2256438067,1081.39588410056,15008.6681189927,1023.69387908339,13077.7579835723,989.457917272917,39543.4325462414,58445.4004143048,75988.6260581115,95183.3225882796,108261.080571852,2806.57209217209,4132.91232149519,5214.30820559575,6477.43604114065,7466.89395841356
1,1123,0.12,1957,57,197100,1,282.982538,0.117371007327219,50,86538,0.981818182,0.031007752,0.555555556,1983,31,3,0,3288.50834518862,1,0,28018.0635752796,28018.0635752796,79.445,13.3333333333333,7.22,4.435,16640.0932212309,1182.59343152136,17040.5637267422,1147.41967181485,5161.48237018493,481.177076633006,NA,NA,NA,NA,16640.0932212309,33680.6569479731,38842.139318158,NA,NA,1182.59343152136,2330.01310333621,2811.19017996921,NA,NA
24,3552,0.36,2005,9,327400,1,5798,0.3061348406,28,59172,0.943939394,0.156321839,0.30176565,2005,9,3,7,719.311087348573,0.3,0.7,2349.65443965404,704.896331896213,19.6566666666667,2.27833333333333,78.065,5.055,14463.8242742714,878.715926625477,19574.8407699018,1200.75340822248,NA,NA,NA,NA,NA,NA,14463.8242742714,34038.6650441733,NA,NA,NA,878.715926625477,2079.46933484796,NA,NA,NA
4,1415,0.15,1950,64,202500,1,308.066348,0.147137971207176,53,60568,1,0,0.685714286,2003,11,2,0,1354.88392301335,1,0,9208.25475502598,9208.25475502598,78.535,16.665,4.8,4.19,26618.0896328223,2125.34421458555,12582.2563895494,1020.23882116074,5007.08224642399,348.479722888261,NA,NA,NA,NA,26618.0896328223,39200.3460223716,44207.4282687956,NA,NA,2125.34421458555,3145.58303574629,3494.06275863455,NA,NA
18,2859,0.06,1965,49,191200,1,3127,0.0309492319,64,60667,1,0,0.466666667,2002,12,0,0,0,NA,NA,0,NA,17.026,6.732,76.24,5.62,20136.3367083878,1515.57306908068,22086.4715825306,1639.80615508855,13022.3461748138,846.310511615007,4436.0971981875,333.610290148988,6253.49378818356,386.007753243351,20136.3367083878,42222.8082909184,55245.1544657322,59681.2516639197,66654.7360650794,1515.57306908068,3155.37922416923,4001.68973578423,4335.30002593322,4800.93603810988
23,3552,0.46,2005,9,390600,1,4721,0.4161404937,28,59172,0.943939394,0.156321839,0.30176565,2010,4,15,1,583.885069839463,0.9375,0.0625,1403.09601848166,1315.40251732656,13.5466666666667,7.88833333333333,78.565,5.535,23434.1131200514,1432.74036455644,33360.8503859726,2097.62933689167,NA,NA,NA,NA,NA,NA,23434.1131200514,56794.9635060239,NA,NA,NA,1432.74036455644,3530.36970144811,NA,NA,NA
15,2364,0.05,1980,34,193900,1.75,200.67048,0.0489346920226606,37,41944,0.912280702,0.125475285,0.375,1992,22,0,0,0,NA,NA,0,NA,79.8016666666667,10,10.1983333333333,4.615,26779.2334287186,1542.62581229076,20897.7949727964,1278.14529544199,18412.254009429,1167.01943103385,25376.7102057793,1437.45209243979,NA,NA,26779.2334287186,47677.028401515,66089.282410944,91465.9926167233,NA,1542.62581229076,2820.77110773275,3987.7905387666,5425.24263120639,NA
25,2375,0.08,1983,31,216600,1,2380,0.057889086,46,73641,0.964285714,0,0.703703704,2014,0,0,3,13.1688735883066,0,1,227.48456571428,0,14.78,6.5,78.7233333333333,5.095,21959.6027808519,1559.71134825409,17763.656466114,1531.53304200952,10423.4070914763,783.498747221277,NA,NA,NA,NA,21959.6027808519,39723.2592469659,50146.6663384422,NA,NA,1559.71134825409,3091.24439026361,3874.74313748489,NA,NA
