"ID","Loc","POP_Densit","Area_Tot_Cor","YearBuilt","Hage","TotalValua","NumberOfSt","TotalGross","yd","MEDIANAGE","medINC","perVAC","perMIN","perMAR","SaleYear","dur","Hard","Con","cabio","Cseqha","perHbio"
22,NA,1709,0.1,1950,64,208300,1.75,256.783892,0.0986368003475157,40,60139,1,0,0.166666667,2013,1,NA,NA,NA,NA,NA
17,NA,1934,NA,1965,49,NA,2,19587.66852,NA,30,66810,0.851546392,0.135770235,0.319612591,NA,NA,NA,NA,NA,NA,NA
27,"BY",1926,0.08,1945,69,188500,1,268.675476,0.0775039242253172,55,60139,0.928571429,0.038461538,0.384615385,2004,10,1,0,2668.06225690544,34424.8666577053,34424.8666577053
27,"FY",1926,0.08,1945,69,188500,1,268.675476,0.0775039242253172,55,60139,0.928571429,0.038461538,0.384615385,2004,10,1,0,48.7744034689546,629.315276051817,629.315276051817
1,"FY",1123,0.12,1957,57,197100,1,282.982538,0.117371007327219,50,86538,0.981818182,0.031007752,0.555555556,1983,31,3,0,3288.50834518862,28018.0635752796,28018.0635752796
24,"BY",3552,0.36,2005,9,327400,1,5798,0.3061348406,28,59172,0.943939394,0.156321839,0.30176565,2005,9,1,7,655.410610012652,2140.92132972549,267.615166215686
24,"FY",3552,0.36,2005,9,327400,1,5798,0.3061348406,28,59172,0.943939394,0.156321839,0.30176565,2005,9,2,0,63.9004773359205,208.733109928555,208.733109928555
4,"FY",1415,0.15,1950,64,202500,1,308.066348,0.147137971207176,53,60568,1,0,0.685714286,2003,11,2,0,1354.88392301335,9208.25475502598,9208.25475502598
18,"0",2859,0.06,1965,49,191200,1,3127,0.0309492319,64,60667,1,0,0.466666667,2002,12,0,0,0,0,NA
23,"BY",3552,0.46,2005,9,390600,1,4721,0.4161404937,28,59172,0.943939394,0.156321839,0.30176565,2010,4,4,1,150.483602555825,361.617301930511,289.293841544409
23,"FY",3552,0.46,2005,9,390600,1,4721,0.4161404937,28,59172,0.943939394,0.156321839,0.30176565,2010,4,11,0,433.401467283638,1041.47871655115,1041.47871655115
15,"0",2364,0.05,1980,34,193900,1.75,200.67048,0.0489346920226606,37,41944,0.912280702,0.125475285,0.375,1992,22,0,0,0,0,NA
25,"FY",2375,0.08,1983,31,216600,1,2380,0.057889086,46,73641,0.964285714,0,0.703703704,2014,0,0,3,13.1688735883066,227.48456571428,0
8,"0",3523,0.06,1952,62,172900,1,2304,0.0385951488,34,58148,1,0,0.615384615,2004,10,0,0,0,0,NA
21,"FY",4455,0.15,1891,123,343500,2,5800,0.12305813,40,57222,1,0.085106383,0.277777778,2012,2,4,3,3329.03085642751,27052.5064571314,15458.5751183608
